GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS489381275	2017-04-23 17:08:38	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Valley Forge NHP--Chester Co. portion (Valley Creek/Mt. Misery/etc.)	L1155888	H	40.0926567	-75.4570245	2017-04-23	14:15:00	obsr175594	S36208911	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS493037139	2021-03-29 12:27:54.94253	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			Bucktoe Creek Preserve (restricted access/private)	L837968	H	39.8206009	-75.7217216	2017-04-30	08:00:00	obsr470076	S36459671	Traveling	P22	EBIRD	200	4.828		10	1	G2376099	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS484767498	2021-04-01 15:14:13.10447	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Parrish Trail/Herb Pennock Park	L4448022	H	39.8378939	-75.7235898	2017-04-12	07:38:00	obsr181634	S35896890	Traveling	P22	EBIRD	155	2.414		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS488515791	2021-03-25 00:00:02.137287	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	4					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Yard - West Chester	L483218	P	39.9991050	-75.6039593	2017-04-21	18:00:00	obsr7291	S36155582	Stationary	P21	EBIRD	45			2	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS485814128	2021-03-23 21:23:10.058299	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Kerr Park	L1500498	H	40.0092916	-75.7059241	2017-04-15	09:05:00	obsr293440	S35975512	Traveling	P22	EBIRD	36	0.402		2	1	G2337545	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS489880706	2021-03-25 00:00:02.137287	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	5					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_960	29			Rushton Farm	L1157732	H	39.9843053	-75.4868245	2017-04-24	17:35:00	obsr432900	S36241153	Traveling	P22	EBIRD	58	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS491909976	2021-03-25 00:00:02.137287	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_960	29			Rushton Farm	L1157732	H	39.9843053	-75.4868245	2017-04-29	08:35:00	obsr597656	S36390691	Traveling	P22	EBIRD	180	2.414		9	1	G2374380	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS492231328	2021-03-29 12:27:54.94253	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Yard - West Chester	L483218	P	39.9991050	-75.6039593	2017-04-28	18:05:00	obsr224609	S36411024	Stationary	P21	EBIRD	70			2	1	G2373486	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS490816718	2021-03-23 21:23:10.058299	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	9					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_962	29			Octoraro Reservoir (IBA) (Chester Co.)	L872097	H	39.8203310	-76.0310030	2017-04-27	06:26:00	obsr293470	S36302160	Stationary	P21	EBIRD	64			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS489211076	2021-03-25 00:00:02.137287	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			White Clay Creek Preserve (PA)	L129676	H	39.7471405	-75.7739174	2017-04-23	09:05:00	obsr634902	S36198409	Traveling	P22	EBIRD	134	2.816		1	1		0	1	0				
