GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS749606993	2019-05-03 12:51:16	32798	species	Yellow Warbler	Setophaga petechia			3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Hibernia County Park	L506093	H	40.0298490	-75.8473563	2019-05-03	09:28:00	obsr134567	S55716252	Traveling	P22	EBIRD	120	1.287		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS765989123	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Longwood Gardens--Meadow Garden	L2212335	H	39.8773368	-75.6677341	2019-05-25	09:15:00	obsr204031	S56728932	Traveling	P22	EBIRD	105	1.609		28	1	G4218895	0	1	0		Beginner Bird Walk - Leader: John Mercer--Data Collection - Bob Suter--Weather: Cloudy with temperature in the mid to upper 60's light winds		
URN:CornellLabOfOrnithology:EBIRD:OBS768691327	2021-03-23 21:23:10.058299	32798	species	Yellow Warbler	Setophaga petechia			12					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2019-05-30	08:30:00	obsr39911	S56911279	Traveling	P22	EBIRD	130	2.414		15	1	G4236400	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS753782368	2021-03-23 21:23:10.058299	32798	species	Yellow Warbler	Setophaga petechia			12					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2019-05-07	08:30:00	obsr768051	S55965282	Traveling	P22	EBIRD	135	2.253		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS754550108	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			5					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Marsh Creek SP	L272015	H	40.0675599	-75.7199850	2019-05-08	07:01:00	obsr544551	S56011462	Traveling	P22	EBIRD	478	5.037		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS748225311	2019-05-01 14:17:54	32798	species	Yellow Warbler	Setophaga petechia			6					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Hibernia County Park--Chambers Lake	L865342	H	40.0308266	-75.8571303	2019-05-01	07:39:00	obsr134567	S55625597	Traveling	P22	EBIRD	55	0.805		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS778458917	2021-03-29 12:27:54.94253	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Springton Manor Farm	L1307711	H	40.0683509	-75.7785416	2019-05-06	08:58:00	obsr153394	S57646989	Traveling	P22	EBIRD	25	0.402		1	1		0	1	0		Can’t walk far. Meadowlark singing on road into park. 		
URN:CornellLabOfOrnithology:EBIRD:OBS758560601	2019-07-01 12:38:56	32798	species	Yellow Warbler	Setophaga petechia			5					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2019-05-11	10:43:00	obsr185422	S56251332	Traveling	P22	EBIRD	120	2.092		2	1	G4173480	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS753546447	2019-05-07 08:09:18	32798	species	Yellow Warbler	Setophaga petechia			5					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2019-05-07	06:42:00	obsr612377	S55951828	Traveling	P22	EBIRD	62	1.107		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS767620473	2019-05-28 10:42:13	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			White Clay Creek Preserve--Arc Corner	L3055461	H	39.7271700	-75.7749900	2019-05-28	06:10:00	obsr557743	S56835053	Traveling	P22	EBIRD	165	1.287		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS748563688	2021-04-01 10:40:31.999318	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Stroud Preserve (closed Wednesdays)	L593221	H	39.9536025	-75.6483793	2019-05-01	17:10:00	obsr513109	S55647470	Traveling	P22	EBIRD	70	2.414		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS750872234	2021-03-31 04:31:08.447012	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Stroud Water Research Center	L9166064	P	39.8598935	-75.7822963	2019-05-04	12:36:00	obsr634902	S55794325	Traveling	P22	EBIRD	189	5.665		1	1		0	1	0				
