observation_date,observation_count,one_week_ago,delta_one_week_ago,two_week_ago,delta_two_week_ago,three_week_ago,delta_three_week_ago,four_week_ago,delta_four_week_ago,five_week_ago,delta_five_week_ago,one_year_ago,one_year_ago_delta,one_year_one_week_ago,one_year_one_week_ago_delta,one_year_two_week_ago,one_year_two_week_ago_delta,one_year_three_week_ago,one_year_three_week_ago_delta,week_num,year_num,status,month
2011-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2011.0,past,2011-07
2011-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2011.0,past,2011-07
2011-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2011.0,past,2011-07
2011-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2011.0,past,2011-08
2011-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2011.0,past,2011-08
2011-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2011.0,past,2011-08
2011-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2011.0,past,2011-08
2011-09-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2011.0,past,2011-09
2011-09-11,6.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2011.0,past,2011-09
2011-09-18,15.0,6.5,5.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2011.0,past,2011-09
2011-09-25,0.0,15.0,8.5,6.5,5.5,1.0,1.0,0.0,0.0,0.0,0.0,12.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,38.0,2011.0,past,2011-09
2011-10-02,3.0,0.0,-15.0,15.0,8.5,6.5,5.5,1.0,1.0,0.0,0.0,84.0,72.0,12.0,10.0,2.0,2.0,2.0,2.0,39.0,2011.0,past,2011-10
2011-10-09,137.0,3.0,3.0,0.0,-15.0,15.0,8.5,6.5,5.5,1.0,1.0,187.5,103.5,84.0,72.0,12.0,10.0,12.0,10.0,40.0,2011.0,past,2011-10
2011-10-16,235.0,137.0,134.0,3.0,3.0,0.0,-15.0,15.0,8.5,6.5,5.5,157.0,-30.5,187.5,103.5,84.0,72.0,84.0,72.0,41.0,2011.0,past,2011-10
2011-10-23,179.0,235.0,98.0,137.0,134.0,3.0,3.0,0.0,-15.0,15.0,8.5,207.0,50.0,157.0,-30.5,187.5,103.5,187.5,103.5,42.0,2011.0,past,2011-10
2011-10-30,90.5,179.0,-56.0,235.0,98.0,137.0,134.0,3.0,3.0,0.0,-15.0,81.0,-126.0,207.0,50.0,157.0,-30.5,157.0,-30.5,43.0,2011.0,past,2011-10
2011-11-06,42.0,90.5,-88.5,179.0,-56.0,235.0,98.0,137.0,134.0,3.0,3.0,11.0,-70.0,81.0,-126.0,207.0,50.0,207.0,50.0,44.0,2011.0,past,2011-11
2011-11-13,1.0,42.0,-48.5,90.5,-88.5,179.0,-56.0,235.0,98.0,137.0,134.0,0.0,-11.0,11.0,-70.0,81.0,-126.0,81.0,-126.0,45.0,2011.0,past,2011-11
2011-11-20,1.0,1.0,-41.0,42.0,-48.5,90.5,-88.5,179.0,-56.0,235.0,98.0,13.0,13.0,0.0,-11.0,11.0,-70.0,11.0,-70.0,46.0,2011.0,past,2011-11
2011-11-27,8.0,1.0,0.0,1.0,-41.0,42.0,-48.5,90.5,-88.5,179.0,-56.0,0.0,-13.0,13.0,13.0,0.0,-11.0,0.0,-11.0,47.0,2011.0,past,2011-11
2011-12-04,2.0,8.0,7.0,1.0,0.0,1.0,-41.0,42.0,-48.5,90.5,-88.5,0.0,0.0,0.0,-13.0,13.0,13.0,13.0,13.0,48.0,2011.0,past,2011-12
2011-12-11,0.0,2.0,-6.0,8.0,7.0,1.0,0.0,1.0,-41.0,42.0,-48.5,5.0,5.0,0.0,0.0,0.0,-13.0,0.0,-13.0,49.0,2011.0,past,2011-12
2011-12-18,0.0,0.0,-2.0,2.0,-6.0,8.0,7.0,1.0,0.0,1.0,-41.0,0.0,-5.0,5.0,5.0,0.0,0.0,0.0,0.0,50.0,2011.0,past,2011-12
2011-12-25,1.0,0.0,0.0,0.0,-2.0,2.0,-6.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,-5.0,5.0,5.0,5.0,5.0,51.0,2011.0,past,2011-12
2012-01-01,1.0,1.0,1.0,0.0,0.0,0.0,-2.0,2.0,-6.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0,52.0,2012.0,past,2012-01
2012-01-08,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,2.0,-6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2012.0,past,2012-01
2012-01-15,6.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2012.0,past,2012-01
2012-01-22,2.0,6.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2012.0,past,2012-01
2012-01-29,1.0,2.0,-4.0,6.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,4.0,2012.0,past,2012-01
2012-02-05,0.0,1.0,-1.0,2.0,-4.0,6.0,4.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2012.0,past,2012-02
2012-02-12,0.0,0.0,-1.0,1.0,-1.0,2.0,-4.0,6.0,4.0,2.0,1.0,0.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,2012.0,past,2012-02
2012-02-19,2.0,0.0,0.0,0.0,-1.0,1.0,-1.0,2.0,-4.0,6.0,4.0,0.0,0.0,0.0,-2.0,2.0,2.0,2.0,2.0,7.0,2012.0,past,2012-02
2012-02-26,2.0,2.0,2.0,0.0,0.0,0.0,-1.0,1.0,-1.0,2.0,-4.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,8.0,2012.0,past,2012-02
2012-03-04,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2012.0,past,2012-03
2012-03-11,0.0,0.0,-2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2012.0,past,2012-03
2012-03-18,3.0,0.0,0.0,0.0,-2.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2012.0,past,2012-03
2012-03-25,10.0,3.0,3.0,0.0,0.0,0.0,-2.0,2.0,0.0,2.0,2.0,1.0,-3.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,2012.0,past,2012-03
2012-04-01,35.0,10.0,7.0,3.0,3.0,0.0,0.0,0.0,-2.0,2.0,0.0,3.0,2.0,1.0,-3.0,4.0,4.0,4.0,4.0,13.0,2012.0,past,2012-04
2012-04-08,10.0,35.0,25.0,10.0,7.0,3.0,3.0,0.0,0.0,0.0,-2.0,12.0,9.0,3.0,2.0,1.0,-3.0,1.0,-3.0,14.0,2012.0,past,2012-04
2012-04-15,72.0,10.0,-25.0,35.0,25.0,10.0,7.0,3.0,3.0,0.0,0.0,30.0,18.0,12.0,9.0,3.0,2.0,3.0,2.0,15.0,2012.0,past,2012-04
2012-04-22,63.0,72.0,62.0,10.0,-25.0,35.0,25.0,10.0,7.0,3.0,3.0,133.0,103.0,30.0,18.0,12.0,9.0,12.0,9.0,16.0,2012.0,past,2012-04
2012-04-29,211.0,63.0,-9.0,72.0,62.0,10.0,-25.0,35.0,25.0,10.0,7.0,29.0,-104.0,133.0,103.0,30.0,18.0,30.0,18.0,17.0,2012.0,past,2012-04
2012-05-06,709.0,211.0,148.0,63.0,-9.0,72.0,62.0,10.0,-25.0,35.0,25.0,134.5,105.5,29.0,-104.0,133.0,103.0,133.0,103.0,18.0,2012.0,past,2012-05
2012-05-13,168.5,709.0,498.0,211.0,148.0,63.0,-9.0,72.0,62.0,10.0,-25.0,34.0,-100.5,134.5,105.5,29.0,-104.0,29.0,-104.0,19.0,2012.0,past,2012-05
2012-05-20,8.0,168.5,-540.5,709.0,498.0,211.0,148.0,63.0,-9.0,72.0,62.0,6.0,-28.0,34.0,-100.5,134.5,105.5,134.5,105.5,20.0,2012.0,past,2012-05
2012-05-27,0.0,8.0,-160.5,168.5,-540.5,709.0,498.0,211.0,148.0,63.0,-9.0,1.0,-5.0,6.0,-28.0,34.0,-100.5,34.0,-100.5,21.0,2012.0,past,2012-05
